Patronim,Sex,count
гургеновна,0,241
бадретдиновна,0,241
сагидуллович,1,241
филаретович,1,241
галиханович,1,240
загидулловна,0,240
оттович,1,240
галинурович,1,240
ашотовна,0,240
хабибуллиновна,0,240
касьяновна,0,240
юсуфовна,0,240
модестовна,0,239
абдрахимовна,0,239
сайфутдинович,1,239
саввична,0,239
гибадуллович,1,239
варисович,1,239
геворкович,1,239
низамутдинович,1,239
ирекович,1,239
вакилович,1,239
загидуллович,1,238
фуатович,1,238
абузарович,1,238
энверович,1,238
магафурович,1,238
гаврильевич,1,238
камалетдинович,1,237
ягафаровна,0,236
зиятдиновна,0,236
левоновна,0,236
ярославовна,0,235
меркурьевич,1,235
шалвович,1,235
сарварович,1,234
мифтаховна,0,234
пимонович,1,234
павлинович,1,233
евтеевич,1,233
шайхиевич,1,233
кашафович,1,233
суфиянович,1,233
владленович,1,233
сафоновна,0,233
закирьяновна,0,232
леонардович,1,232
асланович,1,232
мисакович,1,231
африкановна,0,231
ризвановна,0,231
лейбович,1,230
саляховна,0,230
филаретовна,0,230
мустафиновна,0,230
салимьянович,1,230
деомидовна,0,230
хаимовна,0,229
явдатович,1,229
габитовна,0,229
минисламович,1,228
минияровна,0,228
радиковна,0,228
аминовна,0,228
мухаметзянович,1,227
бакирович,1,227
багратович,1,227
хайбрахмановна,0,227
ованесович,1,227
нигматовна,0,227
хатмулловна,0,226
салимгареевич,1,226
гильфановна,0,226
мингалеевна,0,226
грантович,1,226
габдрахимовна,0,225
гильфанович,1,225
гайнисламович,1,224
павлиновна,0,224
залманович,1,223
халиковна,0,223
шаймухаметович,1,223
хачатуровна,0,223
апполонович,1,223
шаймухаметовна,0,223
ишмухаметович,1,222
мажитович,1,222
уралович,1,222
киреевич,1,222
даутовна,0,222
мухаметзяновна,0,221
фаткуллович,1,221
гатиятович,1,221
рафаэлович,1,221
шакирзянович,1,220
салимгареевна,0,220
аксанович,1,220
гизетдинович,1,219
мамедович,1,219
инокентьевич,1,219
ахсанович,1,218
екимович,1,218
мирзагитович,1,218
сафович,1,217
гайсинович,1,217
динисламович,1,217
кавиевич,1,216
омаровна,0,216
хурматовна,0,216
салаватовна,0,216
кашафовна,0,216
фахретдинович,1,215
гайнутдиновна,0,215
сетракович,1,215
гаврииловна,0,215
эмануиловна,0,214
бадмаевич,1,214
саввовна,0,213
фахретдиновна,0,213
халитовна,0,213
ювенальевич,1,212
нариманович,1,211
измаиловна,0,211
анна,0,211
сахиевич,1,211
фатеевич,1,210
агаповна,0,210
рувимович,1,210
макарьевна,0,210
динисламовна,0,210
биктимировна,0,209
габдрахимович,1,209
фарвазович,1,209
марьянович,1,209
андроновна,0,208
зайнетдиновна,0,208
хамзович,1,208
дя,1,208
зиевна,0,207
хадиевич,1,207
саидовна,0,207
сафуановна,0,206
ульфатович,1,206
шарифуллинович,1,206
хисамутдинович,1,206
самигуллинович,1,205
кадирович,1,205
дамировна,0,205
баянович,1,205
петросович,1,205
лутфуллинович,1,205
загировна,0,205
амаякович,1,205
насретдиновна,0,204
флегонтовна,0,204
вильданович,1,204
